id,time,intid,area,rsphone,acode,zip,ringer,intro1,intro2,srvyinfo,gender,rwdirusa,rwdiril,rwdirlocal,qlife,ccintro,recall,order1,concon,order2,rcc1,rcc1ccp,rcc1ccq,rcc2,rcc2ccp,rcc2ccq,ccr1,ccr1ccq,ccr1r,ccr2,ccr2ccq,ccr2r,tax_fed_val,tax_il_val,tax_fairshr,qlintro,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,concon_info,ilbudg_st,ilbudg_gdjob,ilbudg_prjob,ilbudg_gdjob1,ilbudg_prjob1,ilbudg_prjob2,ilbudg_gdjob2,ilbudg_intro,ilbudg_gov,ilbudg_leg,Ilbudg_senpres,Ilbudg_horspk,stfin_intro,stfin_total,stfinord,stfin1,stfin2,cuts_intro,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,pen_cuts,cuts_comment,tax_intro,tax_hinc,tax_sales,tax_services,gamble_exp,sell_il_asset,tax_comment,crts_intro,judic_apelect,judic_apelectfeel,judic_campissue,crts_intro2,cf_lim_judg1,cf_lim_judg2,cf_pub_judg1,cf_pub_judg2,crts4ord,crts4a,crts4b,demo_intro,birth_yr,hh_child,comun_type,zip2,county,education,employ_time,rent_own,marstatus,party_aff08,party_repstr,party_demstr,party_indystr,party_aff,rac_eth,hh_inc,numphones,havecell,gender2,cbtime,nrv,thanks,sorry,thanksc,results,spanish,date1,regwgt,gendwgt,rxgwgt
674,12,225,2,708444,708,60477,1,2, , ,2,2,2,2,3, ,8,2,8,2,999, ,999,999, ,999, ,999,999, ,8,8,4,3,8, ,2,5,3,2,8,3,4,4,0,1, , ,1,0, ,4,4,8,4, ,2,1,2,999, ,2,2,2,2,2,2,1, ,1,2,2,2,8,0, ,1,1,1, ,2,2,2,1,1,1,999, ,1,0,2,60477,1,6,5,1,5,2, ,1, ,7,1,3,1,1,2, , , , ,1,1, ,20080930,1.30841121495327,.83743842364532,1.09571382533033
1169,21,216,2,708448,708,60482,1,2, ,1,2,2,2,8,3,1,2,2,2,1,999, ,999,999, ,999,1,2,2, ,999,999,3,3,8,1,3,3,3,8,3,2,3,5, , , , , , , , , , , ,1,2,1,2,999,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,999,1,1,0,2,60482,1,5,1,1,1,7, , ,3,4,1,4,1,1,2, , , , ,1,1, ,20081002,1.30841121495327,.83743842364532,1.09571382533033
280,19,216,2,708456,708,60706,1,1, ,1,1,2,2,1,1,1,2,1,1,1,2,1,1,999, ,999, ,999,999, ,999,999,3,3,3,1,1,1,1,1,1,1,4,3,1,1, , ,1,1,1,4,4,4,1,1,1,1,1,999,1,1,2,2,2,2,2,8,1,2,2,2,1,2,1,1,1,2,8,1,3,1,1,1,2,999,2,1,1,0,2,60706,1,3,2,1,4,1,2, , ,2,1,1,1,2,1, , , , ,1,1, ,20080926,1.30841121495327,1.25319693094629,1.63969691899515
382,17,107,2,708460,708,60467,1, ,1,1,2,2,2,1,2,2,1,1,2,1,1,1,2,999, ,999, ,999,999, ,999,999,4,4,3,1,2,3,1,2,3,1,2,4,1,1, , ,1,1, ,4,3,4,2, ,2,1,2,999, ,2,2,2,2,2,2,1, ,2,2,1,2,1,1, ,2,2,1,1,1,1,2,1,1,1,999, ,1,3,2,60467,1,6,4,1,1,1,1, , ,1,1,8,2,1,2, , , , ,1,1, ,20080929,1.30841121495327,.83743842364532,1.09571382533033
675,14,225,2,708478,708,60467,1,2, , ,2,2,2,1,3, ,1,1,2,1,1, ,2,999, ,999, ,999,999, ,999,999,3,3,2, ,2,3,3,2,3,2,2,4,0,1, , ,1,0, ,4,3,4,2, ,1,1,1,999, ,2,2,2,2,2,2,0, ,1,2,2,1,1,0, ,1,2,1, ,1,1,1,2,2,999,1, ,1,0,2,60467,1,5,7,1,1,1,1, , ,1,1,4,1,1,2, , , , ,1,1, ,20080930,1.30841121495327,.83743842364532,1.09571382533033
919,15,115,2,708484,708,60402,1,1, , ,1,1,2,1,1, ,1,2,1,1,999, ,999,999, ,999, ,1,1, ,999,999,3,3,2, ,1,2,1,2,2,1,1,4,1,1, , ,1,1, ,4,3,4,2, ,2,2,999,1, ,2,2,1,2,2,1,1, ,2,2,2,1,2,1, ,1,1,2, ,4,4,4,2,2,999,1, ,1,0,2,60402,1,6,6,1,1,3, , ,2,3,1,7,4,1,1, , , , ,1,1, ,20081008,1.30841121495327,1.25319693094629,1.63969691899515
521,24,239,2,708566,708,60428,1,2, , ,2,2,2,2,4, ,1,1,2,1,1, ,2,999, ,999, ,999,999, ,999,999,5,5,8, ,4,4,2,2,3,2,4,4,1,1, , ,1,1, ,4,8,4,4, ,2,1,2,999, ,2,2,1,2,2,1,1, ,2,2,2,2,1,1, ,8, ,8, ,3,3,3,8,2,999,8, ,1,4,2,60428,1,5,5,1,1,2, ,2, ,6,2,2,1,1,2, , , , ,1,1, ,20081007,1.30841121495327,.83743842364532,1.09571382533033
748,13,225,2,708579,708,60525,1,2, , ,2,2,2,8,2, ,3,2,2,1,999, ,999,999, ,999, ,2,3, ,999,999,3,3,2, ,2,3,2,2,2,2,4,5, , , , , , , , , , , , ,2,2,999,1, ,2,2,2,2,2,1,0, ,2,2,2,2,1,0, ,1,1,1, ,2,2,3,2,1,2,999, ,1,0,2,60525,1,6,5,1,1,1,2, , ,2,1,5,1,1,2, , , , ,1,1, ,20081002,1.30841121495327,.83743842364532,1.09571382533033
200,17,190,2,708579,708,69999,1,2, , ,2,8,2,1,2, ,2,1,8,1,2, ,8,999, ,999, ,999,999, ,999,999,3,3,2, ,2,3,2,2,2,2,3,3,0,1, , ,1,0, ,3,3,3,3, ,2,1,2,999, ,2,2,2,1,2,2,0, ,2,2,1,1,1,0, ,8, ,1, ,1,1,2,1,2,999,2, ,9,9,2,69999,1,6,9,9,9,9, , ,9,9,9,9,9,9,2, , , , ,1,1, ,20081004,1.30841121495327,.83743842364532,1.09571382533033
722,32,217,2,708583,708,60707,1, ,1, ,2,2,2,2,8, ,2,2,1,2,999, ,999,999, ,999, ,999,999, ,2,2,3,5,8, ,5,3,4,8,5,3,3,4,8,1, , ,1,8, ,3,3,8,8, ,2,1,2,999, ,2,2,2,1,1,2,1, ,1,2,1,2,1,0, ,1,1,1, ,2,2,3,1,1,1,999, ,1,0,2,60707,1,6,5,1,5,2, ,2, ,6,1,1,1,1,2, , , , ,1,1, ,20080929,1.30841121495327,.83743842364532,1.09571382533033
