id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,gov14_quin_raun,gov14_quin_raun_other,gov14_quin_brady,gov14_quin_brady_other,gov14_quin_dill,gov14_quin_dill_other,gov14_quin_ruth,gov14_quin_ruth_other,fix_deficit_il14,tax_temp_inc1,tax_temp_inc2,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_sales,tax_services,gamble_exp,tax_pen_ssi,tax_ret_inc,pen_refbill,term_total_yrs,term_leader,term_resp,term_expert,term_fresh,term_lobby,crpt_city_com,crpt_county_com,crpt_city_impact,crpt_state_com,crpt_st_impact,crpt_fed_com,crpt_fed_impact,gun_own,schoolgrd,schoolgrd_tax,gun_conceal_expt,gun_conceal_safe,local_ce,national_ce,news_accurate,say_from,say_from_other,q46_a1,q46_a2,q46_a3,q46_a4,q46_a5,q46_a6,q46_a7,q46_a8,q46_a9,q46_a10,q46_a11,q46_a12,q46,hc_medicaid,hc_ins_quality,hc_ins_cost,hc_get_ins,hc_delayed,hc_condition,abort_leg,lg_coup_rts,education,ideology,party_aff,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,born_again,zip,age,birth_yr,rac_eth,rac_eth_other,hh_inc,news_loc_tv,news_nat_np,news_npr,news_radio,news_msnbc,news_fox,news_cnn,news_bbc,news_huffpo,news_comedy,news_social,news_oth_dum,news_oth_word,news_no_contact
20150,2,1, , ,1,1,1,2,9,2,2,1,10, ,9, ,2, ,2, ,2, ,2,4,4,2,2,2,1,2,1,1,2,4,2,2,2,3,1,1,3,4,2,9,4,4,4,4,4,3,4,1,9, ,1,8,2,4,3,1, ,3,5,1,9,10,6,7,2,8,4, , , ,2,3, , ,2, ,2,2,6,9,5,3, ,1,2,1, ,5,60631,11,1939,1, ,6,1,1,1,1,1,1,1,1,1,1,0,0, ,0
602277,2,2,1,1, ,1,1,2,2,2,5,9, , ,9, ,1, ,1, ,1, ,2,9, ,2,2,2,2,2,2,2,2,1,4,1, ,9,1,1,3,4,1,2,4,4,4,4,4,4,3,2,1,1,2,2,4,4,3,1, ,1,5,3,2,7,8,4,9, , , , , ,2,3, , ,1,2,1,3,3,9,9,1,3, ,1,1, ,2,60411,7,1959,2, ,3,1,1,1,1,1,0,1,1,1,0,0,0, ,0
602803,2,2,1,1, ,1,1,1,2,1,1,2, , ,3, ,3, ,3, ,3, ,3,2, ,2,2,2,2,2,2,1,2,1,2,2,1,9,2,1,2,3,2,3,1,4,2,3,2,2,2,2,2, ,1,2,3,4,3,1, ,10,8,3,11,1, , , , , , , , ,2,3, , ,2, ,2,2,3,1,1,1,4, ,4, ,2, ,60201,5,1971,1, ,5,1,0,1,0,0,0,0,1,0,1,1,0, ,0
601878,2,2,1,1, ,1,1,1,2,1,1,2, , ,3, ,1, ,3, ,3, ,1,3,4,2,2,1,2,1,2,2,2,1,1,2,1,4,1,1,1,4,2,3,4,4,2,3,2,3,3,2,1,2,1,2,3,3,3,1, ,5,2,3,1,11,9,8, , , , , , ,2,3, , ,2, ,1,1,6,2,1,1,1, ,5, ,1,5,60657,8,1954,1, ,7,1,1,1,0,1,0,0,1,1,0,1,0, ,0
602554,2,2,1,1, ,1,1,2,2,2,2,1,1, ,1, ,1, ,1, ,3, ,2,3,4,1,1,2,1,2,2,1,2,4,4,1, ,1,1,1,1,4,3,3,3,4,3,3,3,3,3,1,2, ,2,2,3,3,3,4, ,11,1,7,5,6,2,3,8, , , , , ,2,2,1, ,2, ,2,1,5,4,7,1,1, ,3,1, ,5,60010,9,1953,1, ,5,1,1,1,0,1,1,1,1,0,0,1,0, ,0
602029,1,2,1,1, ,1,1,9,2,2,4,9, , ,9, ,9, ,9, ,9, ,2,3,4,2,2,2,1,2,2,2,2,4,4,2,2,4,1,1,1,3,1,9,4,3,2,4,4,4,4,1,1,2,2,2,2,2,2,1, ,9,4,6,1,10, , , , , , , , ,9,4, ,8,2, ,3,2,3,9,9,3, ,2,2,1, ,3,60644,11,1943,9, ,1,1,0,0,1,0,1,0,0,1,1,0,0, ,0
602044,1,2,1,1, ,1,1,1,9,1,2,2, , ,3, ,3, ,3, ,3, ,3,2, ,2,1,2,9,2,2,2,2,2,1,2,2,9,2,2,2,3,2,4,3,3,2,3,1,3,2,2,1,2,2,2,3,3,3,1, ,5,10,6,7,3,4,2,1, , , , , ,2,3, , ,2, ,2,1,6,3,2,1,1, ,5, ,2, ,60657,6,1968,1, ,9,1,1,1,1,1,1,1,0,0,1,0,0, ,0
602379,2,2,1,1, ,1,1,9,9,9,1,9, , ,9, ,9, ,9, ,9, ,3,4,4,2,2,1,2,2,2,1,2,2,2,2,2,9,1,1,2,2,2,1,2,1,2,4,2,4,3,2,2, ,2,2,2,4,2,99, ,7,8,3,4,2, , , , , , , , ,2,1, , ,2, ,1,1,6,3,9,1,1, ,5, ,3, ,60015,99,9999,1, ,6,0,1,1,1,0,0,1,1,0,0,0,0, ,0
600148,2,2,1,1, ,1,1,2,2,1,2,9, , ,9, ,1, ,3, ,1, ,3,3,3,2,2,2,1,2,2,2,2,3,4,2,1,2,1,1,1,1,2,1,3,3,2,4,3,4,4,1,1,1,1,1,3,4,3,4, ,4,1,11,6, , , , , , , , , ,2,3, , ,2, ,3,3,4,5,6,4, , ,1,1, ,2,60453,4,1978,1, ,5,1,0,0,1,0,1,0,0,0,0,1,0, ,0
601623,2,2,1,1, ,1,2,2,2,2,2,3, , ,1, ,1, ,1, ,1, ,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,4,2,3,4,3,3,4,3,4,4,1,1,1,2,1,2,2,1,4, ,1,2,11,5,6,9, , , , , , , ,2,3, , ,1,4,3,3,2,5,6,2,1, ,1,1, ,5,60613,1,1995,5, ,4,1,1,0,0,1,1,0,0,1,0,1,0, ,0
602506,2,2,1,1, ,1,1,2,2,1,1,1,10, ,1, ,1, ,1, ,1, ,2,2, ,2,2,1,1,2,1,2,1,1,4,1, ,2,1,1,1,3,2,2,4,3,4,4,4,4,4,1,1,1,1,8,3,4,3,1, ,6,7,9,4,1,11,8,88, , , , ,TIME; NEWSWEEK,2,3, , ,2, ,2,2,5,4,5,1,4, ,1,1, ,3,60585,7,1960,1, ,5,1,0,0,1,0,1,1,1,1,0,1,1,TIME; NEWSWEEK,0
602628,2,2,1,1, ,1,1,1,2,1,2,2, , ,3, ,3, ,3, ,3, ,3,3,3,2,1,2,2,2,2,1,2,1,4,2,1,2,4,1,4,1,4,2,1,2,1,2,3,4,3,2,2, ,2,2,4,3,3,4, ,11,5,7,4,6,2,8,1,10,9, , , ,2,3, , ,1,3,1,1,3,3,1,4, , ,5, ,1,5,60133,9,1951,1, ,4,1,1,0,1,1,1,1,1,1,1,1,0, ,0
601448,1,2,1,1, ,1,2,1,2,1,2,9, , ,1, ,1, ,1, ,1, ,9,4,4,9,9,9,9,9,2,9,2,4,2,9, ,9,9,9,3,9,3,9,9,4,2,9,9,9,9,9,9, ,1,8,2,2,2,2, ,2,4,6,11,5,9, , , , , , , ,2,3, , ,2, ,9,1,6,4,9,1,1, ,3,1, ,5,60302,7,1963,1, ,9,0,1,0,1,1,1,0,0,1,0,1,0, ,0
600106,3,2,1,1, ,1,2,2,2,2,3,1,7, ,9, ,1, ,2, ,1, ,2,9, ,2,2,2,9,1,2,1,2,2,4,2,1,3,1,1,2,3,2,3,1,2,1,4,4,4,3,1,1,9,1,1,3,4,2,5, ,2,11,4,6,1, , , , , , , , ,2,2,1, ,2, ,2,2,4,4,7,2,1, ,4, ,1,5,61301,8,1957,1, ,6,1,1,0,1,0,1,0,0,0,0,1,0, ,0
600346,3,2,1,1, ,1,2,2,2,2,5,3, , ,9, ,9, ,9, ,9, ,2,3,4,2,1,1,9,2,2,2,2,3,1,2,2,2,2,2,3,1,1,2,4,3,2,2,3,3,3,1,2, ,1,1,3,3,2,6, ,1, , , , , , , , , , , , ,1,4, ,1,1,1,2,1,3,4,9,3, ,9,5, ,1,5,62092,10,1946,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0
600761,3,2,1,1, ,1,2,2,2,9,3,3, , ,1, ,1, ,1, ,1, ,2,3,3,2,2,2,2,2,2,1,2,2,3,2,2,9,3,9,3,3,1,3,4,4,3,4,4,4,4,1,1,1,1,2,3,3,3,11, ,6,1,11, , , , , , , , , , ,1,2,1, ,1,3,3,3,2,3,9,3, ,1,1,1, ,5,62286,9,1953,1, ,4,1,0,0,0,0,1,0,0,0,0,1,0, ,0
601830,3,2,1,1, ,1,2,1,2,1,2,3, , ,3, ,3, ,3, ,3, ,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,3,2,3,1,2,3,2,3,2,2,2,1,1,1,2,3,3,4,2, ,1,10,4,5,2,9,11,7, , , , , ,2,2,2, ,2, ,1,1,6,1,2,1,3, ,4, ,1,5,60021,3,1982,1, ,6,1,1,0,1,1,0,1,0,1,1,1,0, ,0
600613,3,2,1,1, ,1,2,2,2,2,4,9, , ,9, ,9, ,9, ,9, ,2,3,3,2,1,9,1,9,2,2,2,4,2,2,1,9,1,1,3,4,1,9,4,4,9,4,3,4,4,1,9, ,9,9,2,3,2,6, ,11,4,6, , , , , , , , , , ,2,2,1, ,2, ,2,1,3,3,5,3, ,1,2,1, ,5,61611,10,1947,1, ,1,0,0,0,1,0,1,0,0,0,0,1,0, ,0
601437,3,2,1,1, ,1,2,9,2,2,4,9, , ,9, ,9, ,9, ,9, ,2,4,4,2,2,2,2,1,9,9,2,3,2,9, ,9,1,1,2,4,1,3,4,4,4,4,4,4,4,9,2, ,1,9,2,3,2,88,NORTH OF ST LOUIS,7,4,11,3,8, , , , , , , , ,2,3, , ,2, ,1,1,5,2,9,4, , ,5, ,3, ,62301,6,1968,1, ,7,0,0,1,1,0,0,1,1,0,0,1,0, ,0
601822,3,2,1,1, ,1,1,2,2,9,3,9, , ,1, ,1, ,1, ,1, ,2,4,4,2,2,2,2,2,2,2,2,4,3,2,1,3,1,1,1,4,1,3,9,2,2,4,9,3,2,1,1,1,1,2,2,2,4,88,EAST MOLINE,5,6,7,8,1, , , , , , , , ,9,3, , ,2, ,2,3,1,5,9,3, ,3,4, ,2, ,61244,13,1925,1, ,9,1,0,0,0,1,1,1,1,0,0,0,0, ,0
600222,2,2,1,1, ,1,1,2,2,1,2,1,1, ,1, ,1, ,1, ,9, ,2,4,4,1,1,1,1,1,1,1,2,4,4,2,2,4,1,1,1,4,1,4,2,2,2,4,3,3,3,1,9, ,2,1,3,3,4,2, ,2,1,6,7, , , , , , , , , ,9,2,1, ,2, ,2,9,5,4,7,1,1, ,2,1, ,5,60134,3,1982,1, ,5,1,1,0,0,0,1,1,0,0,0,0,0, ,0
600544,2,2,1,1, ,1,1,2,2,2,4,1,10, ,1, ,1, ,1, ,1, ,2,4,4,2,2,2,2,1,2,1,2,4,1,2,2,1,1,1,1,4,1,1,4,4,4,4,4,4,4,1,1,1,2,1,2,2,2,88,CORRUPT PART,7,8,5,2,3,9,1,11,6,10,4, , ,1,2,1, ,1,2,1,3,4,2,6,1,1, ,4, ,1,5,60154,7,1961,1, ,6,1,1,1,1,1,1,1,1,1,1,1,0, ,0
600343,2,2,1,1, ,1,2,1,1,1,3,2, , ,3, ,3, ,1, ,3, ,2,9, ,2,2,2,2,2,2,9,9,3,3,2,1,2,2,9,2,3,1,9,4,3,2,3,2,3,3,2,1,1,2,2,2,3,2,1, ,11,10,4,8,5,9, , , , , , , ,2,3, , ,2, ,1,1,5,1,1,2,1, ,3,1, ,5,60625,1,1992,1, ,9,0,0,0,1,1,0,0,1,1,1,1,0, ,0
600004,2,2,1,1, ,1,2,2,2,1,2,1,1, ,1, ,1, ,1, ,1, ,2,4,4,2,1,2,2,1,2,2,2,2,3,2,1,4,1,1,2,1,1,3,3,2,4,4,2,4,3,1,1,1,1,1,3,3,2,2, ,11,6,2,1,4, , , , , , , , ,2,3, , ,2, ,2,2,3,4,7,1,3, ,4, ,1,5,60517,9,1952,1, ,9,1,1,0,1,0,1,0,0,0,0,1,0, ,0
601299,2,2,1,1, ,1,1,2,2,1,4,1,1, ,1, ,3, ,3, ,1, ,2,3,3,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,4,2,2,1,2,2,3,4,3,4,1,1,2,1,1,3,2,4,4, ,8,4,11,7, , , , , , , , , ,2,3, , ,2, ,2,1,5,3,6,2,1, ,4, ,1,5,60417,1,1991,1, ,1,0,0,0,1,0,0,1,1,0,0,1,0, ,0
600272,1,2,1,1, ,1,1,1,1,1,2,2, , ,3, ,3, ,3, ,3, ,3,2, ,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,3,2,2,2,2,2,2,3,2,2,2,1,2,1,1,3,3,3,2, ,9, , , , , , , , , , , , ,2,1, , ,2, ,1,1,3,2,1,1,3, ,5, ,3, ,60478,1,1992,2, ,3,0,0,0,0,0,0,0,0,1,0,0,0, ,0
600444,2,2,1,1, ,1,1,1,2,1,2,2, , ,3, ,3, ,3, ,3, ,8,2, ,1,1,1,2,1,2,1,1,3,3,1, ,3,4,4,4,4,1,4,3,3,4,3,2,3,2,2,1,1,1,2,4,1,1,5, ,10,8,9,2,4,3, , , , , , , ,2,3, , ,1,4,2,3,3,4,1,3, ,1,1,1, ,5,60010,13,1923,1, ,2,0,1,1,1,0,0,0,1,1,1,0,0, ,0
26282,3,1, , ,1,1,1,2,2,1,4,9, , ,9, ,9, ,9, ,9, ,2,4,4,2,1,2,1,1,2,1,2,4,1,2,2,4,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,2,2,1,2,2,2,6, ,1,4,6,11, , , , , , , , , ,2,3, , ,2, ,3,3,2,4,5,3, ,1,3,1, ,1,61951,11,1941,1, ,2,1,0,0,1,0,1,0,0,0,0,1,0, ,0
26076,3,1, , ,1,1,1,2,2,2,2,1,10, ,1, ,1, ,1, ,1, ,3,9, ,2,9,2,1,1,2,2,9,3,2,2,1,4,1,1,4,4,1,4,1,1,1,4,4,4,3,9,1,9,1,9,3,3,2,6, ,4,1,10,6, , , , , , , , , ,2,2,1, ,2, ,2,2,6,5,7,3, ,2,1,1, ,5,61607,13,1931,1, ,9,1,0,0,1,0,1,0,0,0,1,0,0, ,0
27215,3,1, , ,1,1,1,2,2,1,2,2, , ,9, ,9, ,9, ,9, ,9,4,3,2,2,2,1,2,2,1,1,2,1,2,1,2,2,2,9,3,1,3,2,1,1,3,1,4,2,1,9, ,9,8,2,2,2,11, ,1, , , , , , , , , , , , ,2,3, , ,2, ,3,3,3,5,1,3, ,1,1,1, ,5,62418,9,1949,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,0
27889,2,1, , ,1,1,2,2,2,2,2,3, , ,9, ,9, ,9, ,9, ,3,4,4,2,1,2,1,2,2,1,2,4,4,9, ,3,4,2,9,1,1,3,1,1,1,4,3,4,4,2,9, ,2,2,3,3,2,2, ,4,2,1,6,11,5, , , , , , , ,1,2,1, ,1,3,3,3,5,5,9,2,1, ,1,1, ,1,99999,99,9999,1, ,9,1,1,0,1,1,1,0,0,0,0,1,0, ,0
27989,3,1, , ,1,1,1,2,1,1,2,3, , ,9, ,3, ,3, ,9, ,3,4,3,2,2,2,2,2,2,2,2,4,4,2,2,4,1,2,4,4,2,3,1,2,1,3,1,1,1,1,2, ,1,1,1,1,2,11, ,1,4,6,10, , , , , , , , , ,2,3, , ,2, ,1,3,3,5,2,3, ,9,5, ,1,5,62012,8,1955,1, ,3,1,0,0,1,0,1,0,0,0,1,0,0, ,0
25663,3,1, , ,1,1,1,1,2,9,2,3, , ,3, ,3, ,3, ,3, ,8,9, ,1,2,2,2,2,2,1,2,4,4,2,2,1,1,1,1,1,2,4,4,4,2,4,1,4,2,1,1,1,1,1,2,2,2,7, ,1,6,4,10,7,5,8, , , , , , ,2,3, , ,2, ,2,3,2,3,1,3, ,1,3,1, ,5,62010,11,1942,1, ,3,1,0,0,1,1,1,1,1,0,1,0,0, ,0
27394,3,1, , ,1,1,1,2,1,1,4,2, , ,3, ,1, ,3, ,1, ,2,2, ,2,1,2,2,2,2,2,1,3,1,2,2,2,2,1,2,4,2,3,2,2,2,2,2,3,3,1,1,1,1,8,3,3,3,6, ,9,1,10,2,11,5,8, , , , , , ,2,3, , ,2, ,1,1,6,3,2,1,3, ,1,1, ,5,62468,3,1980,1, ,3,1,1,0,0,1,0,0,1,1,1,1,0, ,0
27800,3,1, , ,1,1,2,2,2,2,4,1,10, ,1, ,1, ,1, ,1, ,2,4,4,2,2,2,9,1,2,2,2,2,2,1, ,4,1,1,2,3,1,3,4,4,3,4,3,4,2,1,1,1,1,1,3,4,2,6, ,11,9,8,5,7,1, , , , , , , ,2,3, , ,1,1,2,2,4,4,7,2,4, ,5, ,1,2,61554,4,1978,1, ,3,1,0,0,0,1,0,1,1,1,0,1,0, ,0
28331,3,1, , ,1,1,2,9,9,1,2,2, , ,9, ,9, ,9, ,9, ,3,3,2,2,2,2,2,2,2,2,1,2,4,2,1,9,3,2,2,1,3,2,2,2,2,3,3,3,3,1,2, ,2,9,2,3,2,10, ,6,5,4, , , , , , , , , , ,2,3, , ,2, ,1,1,6,3,2,3, ,3,4, ,1,5,62221,10,1947,1, ,3,0,0,0,1,1,1,0,0,0,0,0,0, ,0
26436,3,1, , ,1,1,1,9,9,1,3,2, , ,9, ,9, ,9, ,3, ,2,4,9,2,1,1,2,2,2,2,2,9,4,2,2,9,4,4,3,3,3,2,4,2,4,4,4,4,3,2,2, ,2,2,2,2,2,11, ,1, , , , , , , , , , , , ,1,3, , ,1,1,9,1,2,5,2,3, ,3,2,1, ,5,62450,13,1927,1, ,9,1,0,0,0,0,0,0,0,0,0,0,0, ,0
26938,3,1, , ,1,1,2,1,2,1,3,2, , ,9, ,1, ,9, ,1, ,3,3,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,1,1,4,1,4,1,2,1,4,2,3,2,2,1,1,2,2,2,2,3,11, ,1, , , , , , , , , , , , ,2,1, , ,2, ,2,1,2,3,2,4, , ,4, ,1,5,62294,8,1956,1, ,2,1,0,0,0,0,0,0,0,0,0,0,0, ,0
27560,3,1, , ,1,1,1,1,2,1,2,9, , ,9, ,9, ,9, ,9, ,3,3,4,9,9,9,2,9,2,1,2,4,9,2,1,9,3,2,3,3,9,2,3,3,2,3,3,3,2,9,9, ,9,1,2,2,2,1, ,7, , , , , , , , , , , , ,2,9, , ,2, ,9,9,2,4,9,1,9, ,3,1, ,5,60586,6,1966,1, ,9,0,0,0,0,0,0,1,0,0,0,0,0, ,0
24405,2,1, , ,1,1,2,1,1,1,1,2, , ,3, ,3, ,3, ,3, ,1,2, ,2,2,2,2,2,2,2,1,1,3,1, ,2,3,1,9,1,3,2,3,3,2,3,2,2,1,2,2, ,2,2,3,3,3,1, ,3,10,9,7,1,2, , , , , , , ,2,3, , ,2, ,1,1,6,1,1,1,1, ,4, ,1,5,60805,5,1970,1, ,6,1,1,1,0,0,0,1,0,1,1,0,0, ,0
25294,2,1, , ,1,1,1,1,2,1,1,1,1, ,1, ,1, ,1, ,1, ,2,4,4,2,1,1,1,1,2,1,1,3,2,1, ,2,1,1,2,4,1,4,1,2,2,4,4,3,4,2,9, ,1,8,3,3,3,1, ,4,2,11,1,7,8, , , , , , , ,2,2,1, ,2, ,2,1,6,2,3,1,4, ,3,1, ,5,60187,7,1962,1, ,9,1,1,0,1,0,0,1,1,0,0,1,0, ,0
12212,2,1, , ,1,1,1,2,2,1,3,1,10, ,1, ,1, ,1, ,1, ,2,4,4,1,2,9,2,2,2,2,2,1,1,2,1,1,1,1,1,4,1,1,1,4,2,4,2,4,4,1,1,1,1,1,4,2,3,5, ,4,5,6,1, , , , , , , , , ,2,3, , ,2, ,2,3,2,1,6,3, ,1,5, ,1,5,60101,13,1933,1, ,2,1,0,0,1,1,1,0,0,0,0,0,0, ,0
25384,2,1, , ,1,1,2,1,2,1,1,2, , ,3, ,3, ,3, ,3, ,2,4,4,2,1,2,1,1,2,2,2,1,4,2,2,2,1,1,9,4,1,2,4,4,2,4,4,4,3,2,1,1,1,2,2,2,2,88,VERNON HILLS,10,9,11,4,7,1,5, , , , , , ,2,2,1, ,1,2,2,2,5,4,3,1,1, ,4, ,2, ,60061,5,1971,3, ,6,1,0,0,1,1,0,1,0,1,1,1,0, ,0
25424,1,1, , ,1,1,1,1,9,1,3,9, , ,9, ,9, ,9, ,9, ,1,1, ,2,2,2,2,2,2,1,2,9,4,1, ,2,1,1,3,3,1,3,9,9,9,3,9,3,9,2,2, ,2,2,2,3,3,2, ,1,9,10,2,4,3,8, , , , , , ,2,3, , ,2, ,1,2,6,2,3,1,1, ,5, ,1,5,60005,6,1968,1, ,7,1,1,1,1,0,0,0,1,1,1,0,0, ,0
