id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim_10,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il10,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_inc10,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_coup_rts,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hh_inc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
031187,2,2,2,1,2,3,2,2,3,2, , , , , , ,6, , , , , , ,2,3,2,2,3,1,1,1,3,2,1,2,5,2,2,3,2,2,2,2,1,2,1,2,2, ,2,1,2,2, ,2, ,1,1,3,2,2,1,3,3,2, , , , , , ,1,2,2,4,4,4, , , , , ,1,6,4,4,4, ,1,13, , , , , ,7, , , , , ,5,3,1965,60062,1,2,8,60062,17031,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
031204,3,1,1,1,2,3,2,2,2,2,5,3, , , , ,4,1, , , , , ,2,1,1,4,2,1,1,2,1,4,2,1,2,2,4,1,2,2,2,2,2,2,2,1,2,1, ,2,2,1, ,1, ,2,2,2,1,3,2,2,3,2, , , , , , ,1,0,4,4,0,1, , , , , ,1,6,2,1,5, ,3, , , , , , , , , , , , , , ,1951,61802,1,3,1,61802,17019,834,116,1658,C,3,1,1,1,1,1,5,0,0,0
031207,2,2,2,2,3,4,2,2,4,2,5, , , , , ,6, , , , , , ,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,3, ,2,2,2, ,2, ,1,1,3,2,4,1,2,3,1,2, , , , , , , , , , , , , , , , ,2,7,6,8,6, ,9, , , , , , , , , , , , , , ,1900,99999,7,7,8,60448,17197,196,140,1698,A,3,0,1,0,0,1,2,0,0,0
031225,3,1,2,1,2,4,2,2,2,6, , , , , , , , , , , , , ,2,3,2,5, ,1,1,3,2,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1, ,2,2,1,1, ,2, ,1,2,2,2,3,1,3,2,1,1,3,3,3,2,0, , , , , , , , , , , ,2,3,3,3,1,1, ,3, ,2, , , , , , , , , ,2,3,1946,61341,1,2,3,61341,17099,196,140,9999,C,3,0,0,0,0,0,0,1,0,1
031251,3,1,2,1,3,3,2,2,1,2,3,7, , , , ,5, , , , , , ,2,2,1,6, ,1,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1, ,2,1,2,5,3,1, ,1,1,2,1,1,2,2,3,3, , , , , , , , , , , , ,2,1,1,2,1,2,5,1,1,4, ,2, , , , , , , , , , , ,80, , ,1954,61201,1,2,4,61201,17161,246,192,1934,B,3,0,1,1,0,1,3,0,1,0
031278,3,2,2,2,2,4,2,2,4,2,3, , , , , ,6, , , , , , ,2,3,1,1,1,1,1,1,1,1,2,3,2,5,1,2,1,1,1,1,1,1,1,2,2, ,2,1,1,2, ,2, ,1,1,4,4,2,1,2,3,1,2, , , , , , , , , , , , , , , , ,1,5,4,4,4, ,1,5, , , , , , , , , , , , , ,1947,60481,1,2,6,60481,17197,196,140,1698,A,3,0,1,1,0,0,2,0,0,0
031402,3,2,2,1,1,3,1,5,4,2,5, , , , , ,6, , , , , , ,2,1,2,2,1,1,1,1,2,1,1,1,1,1,5,2,2,2,1,1,2,1,1,1,2,1, ,2,2,2, ,1, ,1,1,3,2,1,2,3,3,3, , , , , , , , , , , , ,1,1,1,1,1,2,2,5,5,1,1, ,5, , , , , , , , , , , , , ,1954,61523,4,2,5,61523,17143,676,556,3790,B,3,0,1,0,0,1,2,0,0,0
031435,1,1,1,1,3,4,2,3,2,5,3,2, , , , ,1,4, , , , , ,2,3,1,4,2,1,2,2,2,3,3,1,1,2,1,1,2,3,2,2,2,2,2,1,2, ,1,1,2,1, ,1, ,2,2,1,1,1,2,3,3,3, , , , , , , , , , , , ,2,1,1,2,1,2,5,1,3,5, ,3, , , , , , , , , , , , , , ,1950,60641,1,2,5,60641,17031,196,140,1698,A,3,1,1,1,1,1,5,0,0,0
031481,3,1,3,3,2,4,5,4,1,2, , , , , , ,6, , , , , , ,2,4,2,6, ,1,1,3,2,1,5,5,3,3,2,3,2,2,3,1,2,1,2,1,2,2, ,2,1,1, ,6, ,3,1,4,4,2,3,3,4,1,2, , , , , , , , , , , , , , , , ,2,6,6,4,1,1, ,3, ,2, , , , , , , , , ,5,4,1952,60115,2,2,1,60115,17037,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
031490,2,2,1,1,4,4,2,2,4,2, , , , , , ,7,3, , , , , ,2,1,2,2,1,1,1,1,1,1,1,4,4,2,2,3,2,2,2,2,1,2,1,1,2,1, ,2,2,2, ,2, ,2,2,2,2,1,1,3,1,3, , , , , , , , , , , , ,1,1,1,1,1,1,4,4,7,3,1, ,5, , , , , , , , , , , , , ,1970,60160,1,3,6,60160,17031,196,140,1698,A,3,0,1,1,0,0,2,0,1,0
