group,short,code,text,notes,0,1,2,3,4,5,6,7,8,9,2009,2010,2011,2012,2013,2014SP,2014FA,2015,SP2016,FA2016
social,Abortion,abort_leg,"Do you think abortions should be legal under all circumstances, legal only under certain circumstances, or illegal in all circumstances?",,,Legal in all circumstances,Legal only under certain circumstances,Illegal in all circumstances,Don't know/Refused,,,,,,x,x,N/A,x,x,x,x,x,x,N/A
social,Gay/Lesbian Marriage,lg_rights,"Which of the following three statements comes closest to your position on the legal rights of gay and lesbian couples in Illinois? Gay and lesbian couples should be allowed to legally marry; gay and lesbian couples should be allowed to form civil unions, but not legally marry; OR there should be no legal recognition of relationships between gay and lesbian couples?",,,Legally marry,Civil unions,No legal recognition of relationships,Don't know/Refused,,,,,,x,x,N/A,x,x,x,x,x,x,N/A
approval,Governor Rauner Approval,raunerapp,I would like for you to tell me how Governor Bruce Rauner is doing his job. Do you approve or disapprove of the job Governor Rauner is doing?,,,Approve,Disapprove,Other/Don't know,,,,,,,,,,,,,,,,x
approval,Speaker Madigan Approval,madapp,"I'd like for you to tell me how well Speaker of the Illinois House of Representatives Michael Madigan is doing his job. Do you approve, or disapprove of the job Speaker Madigan is doing?",,,Approve,Disapprove,Other/Don't know,,,,,,,,,,,,,,,,x
approval,Senate President Cullerton,cullapp,"I'd like for you to tell me how well Illinois Senate President John Cullerton is doing his job. Do you approve, or disapprove of the job Senate President Cullerton is doing?",,,Approve,Disapprove,Other/Don't know,,,,,,,,,,,,,,,,x
voting,Enthusiasm About Election,enthusiasm,"Thinking about the upcoming elections, are you more enthusiastic than usual about voting, or less enthusiastic?",,,More enthusiastic,Less enthusiastic,About the same,Other/Don't know,,,,,,,,,,,,,,,x
voting,2016 Presidential Election,prez16,If the election was being held today would you vote for?,,,Trump,Clinton,Johnson,Stein,Other/Don't know,,,,,,,,,,,,,,x
voting,2016 U.S. Senator Election,senate16,"If the election for US Senator from Illinois was being held today, would you vote for?",,,Kirk,Duckworth,McMillen,Summers,Other/Don't know,,,,,,,,,,,,,,x
voting,2016 Illinois Comptroller Election,comptroller16,"If the election for Illinois Comptroller was being held today, would you vote for?",,,Munger,Mendoza,Ball,Curtin,Other/Don't know,,,,,,,,,,,,,,x
unions,Opinion of Labor Unions,unionview,Would you say your overall opinion of labor unions is favorable or unfavorable?,,,Favorable,Unfavorable,Other/Don't know,,,,,,,,,,,,,,,,x
unions,Right-to-Work,right2work,Do you favor or oppose right-to-work or open-shop laws?,,,Favor,Oppose,Other/Don't know,,,,,,,,,,,,,,,,x
unions,Influence of Unions,union_inf,"Would you personally like to see labor unions in the United States have more influence than they have today, the same amount, or less influence than they have today?",,,More influence,The same amount,Less influence,Other/Don't know,,,,,,,,,,,,,,,x
unions,Fair Share (Right-to-Work),fairshr,"I'm going to read two statements about organized labor, then ask you to tell me which comes closer to your own views, even if neither is exactly how you fell. First is, when everyone in the workplace shares the gains won by the labor union, all workers shoud have to contribute to the union's costs for negotiating those gains; OR no American should be required to pay udes to a private organization like a labor union against their will. ",,,Everyone pays negotiating costs,Shouldn't be forced to pay dues,Other/Don't know,,,,,,,,,,,,,,,,x
migration,Likelihood of Moving,likely_move,Thinking ahead how likely is it that you will move to a different state in the next 12 months?,,,Likely,Not likely,Unsure/Other,,,,,,,,,,,,,,,,x
migration,Desire to Move,desire_move,"Regardless of whether you will move, if you had the opportunity, would you like to move to another state?",,,Yes,No,Other/Don't know,,,,,,,,,,,,,,,,x
environment,Cause of Climate Change,climate_chng,"Which of these statements comes closer to your view, even if neither is exactly right: The earth is getting warmer mostly because of human activity, such as burning fossil fuels; OR the earth is getting warmer mostly because of natural patterns in the earth's environment; OR there is no solid evidence the earth is getting warmer",,,Warmer because of human activity,Warmer because of natural patterns,No evidence the earth is getting warmer,Other/Don't know,,,,,,,,,,,,,,,x
environment,Environment vs. Economic Growth,env_econ,"Which of these statements comes closer to your view, even if neither is exactly right: Protection of the environment should be given priority, even at the risk of curbing economic growth; OR economic growth should be given priority, even if the environment suffers to some extent",,,Prioritize environment,Prioritize economic growth,Don't know/Refused,,,,,,,,,,,,,,,,x
veterans,Veterans Sentencing,vet_sentence,Do you agree or disagree that judges should be allowed to make exceptions to minimum sentencing laws for veterans who are convicted of crimes but have service related disabilities like post-traumatic stress disorder or traumatic brain injury?,,,Agree,Disagree,Don't know/Other,,,,,,,,,,,,,,,,x
