id,hello,intro1,qskip1,rwdirusa,rwdiril,rwdirlocal,qlife,qskip2,cf_prohib_co,recall,cf_lim_leader,ch_lim_inkind,cf_lim_fedmatch,cf_comment,term_leader,cf_public,qskip3,redist_hat,redist_neutral,redist_comment,referend,qskip4,app_pres_oba,app_gov_quin,app_ilag_mad,app_Ilsminl_rad,app_iltres_gian,app_ilhminl_cro,app_ilspres_cul,app_ilhspk_mad,app_sen_durb,app_sen_bur,app_ilcomp_hyn,tax_fed_val,tax_il_val,tax_local_val,tax_fairshr,qskip5,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,budgq_grp1,budgq_grp2,budgq_grp3,deficit_grp1,deficit_grp2,deficit_comment,deficit_grp3,qskip6,cuts_K12,cuts_he,cuts_he_comments,cuts_cops,cuts_parks,cuts_poor,cuts_disable,cuts_disable_comment,pen_cuts,qskip7,tax_inc09,tax_sales,tax_services,gamble_exp,sell_il_asset,sell_il_asset_comment,prim10_vote,prim10_party,primgov_grp1,primgov_grp2,qskip8,primgov_grp3,primgov_grp4,primgov_grp5,primgov_grp6,primgov_grp7,primgov_grp8,qskip9,abort_leg,lgcoup.grp1,lg_coup_rts_comments,lgcoup.grp2,lgcoup.grp3,qskip10,hc_fed_resp,hc_fed_resp_comment,gender,education,party_aff1,party_str,party_indystr,hc_haveins,hc_pub,hc_empr,hc_indy,hc_other,hc_dknr,hc_cobra,hc_union,hc_supins,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,born_again_comment,zip,birth_yr,rac_eth,hh_inc,thank,gender2,thank2,date,time,area,age,add_comments,fix_deficit_il09,prim10_gov_dem,prim10_gov_rep,lg_coup_rts,party_aff2,party_aff3,party_strength,party_aff,party_indy
37,1,1,1,1,2,1,2,1,1,2,2,1,2, ,5,3,1,2,2, ,3,1,2,2,9,9,2,9,9,2,9,9,2,2,3,3,2,1,2,2,1,3,1,1, ,1, , ,3, , ,1,2,2, ,2,2,2,2, ,1,1,1,2,2,2,2, ,1,9, , , , , , , , , ,1,1, , ,1, ,1,2, ,1,5,2,2, ,1,0,1,0,0,0,0,0,0,5, ,1,13, , , , , ,1, , , , , ,2, ,60148,70,1,4,0,1, ,20090923,144904,2,39, ,3, , ,1,5,3,5,7,11
39,1,1,1,2,2,1,2,1,3,2,2,3,3, ,4,4,1,4,2, ,2,1,2,1,1,1,2,9,2,1,1,4,3,2,2,3,2,1,3,2,3,2,3,2, ,1, , ,1, , ,1,2,1, ,2,2,2,2, ,2,1,1,1,2,2,2, ,1,1,1, , , , , , , , ,1,3, , ,2, ,1,2, ,2,3,3, ,2,1,1,0,0,0,0,0,0,0,4, ,2, , , , , , , , , , , ,12, , ,60546,45,1,2,0,2, ,20090923,145537,2,64, ,1,1, ,2,4,3,3,5,8
42,1,1,1,2,2,1,4,1,2,2,5,2,3, ,2,2,1,3,2, ,2,1,3,3,2,2,9,9,9,2,2,3,2,4,4,2,3,1,3,5,3,2,4,4, ,1, , ,2, , ,1,2,2, ,2,2,2,2, ,1,1,2,2,2,1,1, ,1,2, , ,1, , ,1, , , ,1,2, , ,1, ,1,2, ,1,2,1,3, ,1,1,0,0,0,0,0,0,0,1,1, ,5, , , , , , , , , , , , , ,61764,40,1,5,0,1, ,20090923,150403,3,0, ,2, ,1,1,2,1,2,2,2
43,1,1,1,2,1,1,2,1,1,1,4,1,1, ,3,4,1,4,1, ,2,1,2,2,2,9,3,9,9,3,3,4,9,3,3,2,2,1,2,2,2,4,2,2,1, , ,3, , , ,1,2,2, ,2,2,3,2, ,2,1,1,2,1,2,2, ,1,9, , , , , , , , , ,1,3,2, , , ,1,3, ,2,6,3, ,3,1,0,1,0,0,0,0,0,0,1,1, ,99, , , , , , , , , , , ,2, ,62301,46,6,99,0,2, ,20090923,150813,3,63, ,3, , ,2,4,3,3,5,7
44,1,1,1,2,1,1,3,1,4,2,3,3,5, ,2,2,1,3,2, ,2,1,1,2,2,9,9,1,2,3,2,2,2,3,3,3,3,1,3,3,4,3,5,3, ,1, , ,9, , ,1,2,2, ,2,3,2,2, ,2,1,2,2,2,1,2, ,1,9, , , , , , , , , ,1,1,3, , , ,1,1, ,1,1,2,9, ,1,1,0,0,0,0,0,0,1,5, ,1,5, , , , , , , , , , , , , ,62837,43,1,99,0,1, ,20090923,151409,4,66, ,9, , ,3,999,999,999,999,999
45,1,1,1,1,1,1,3,1,1,1,3,1,2, ,1,3,1,3,5, ,2,1,1,2,2,9,9,9,9,4,2,4,9,2,4,3,2,1,2,3,1,2,3,1,1, , ,2, , , ,1,1,9, ,2,1,2,2, ,9,1,1,2,2,2,2, ,1,1,1, , , , , , , , ,1,2, , ,2, ,1,2, ,1,3,2,2, ,1,1,0,1,0,0,0,0,0,4, ,1,5, , , , , , , , , , , , , ,60510,26,1,4,0,1, ,20090923,151416,2,28, ,2,1, ,2,5,3,5,7,11
46,1,1,1,1,2,1,3,1,1,1,5,2,1, ,1,1,1,5,2, ,2,1,3,3,1,9,9,3,2,1,3,1,1,3,4,2,3,1,1,4,1,1,3,1, , ,1, , , ,3,1,2,2, ,2,1,2,1, ,2,1,1,1,1,2,1, ,1,9, , , , , , , , , ,1,4, , ,9, ,1,1, ,2,6,4, ,4,1,0,1,0,0,0,0,0,0,1,1, ,19, , , , , , , ,1, , , ,1, ,62012,46,5,99,0,2, ,20090923,151354,4,0, ,3, , ,9,3,2,6,88,88
48,1,1,1,1,1,1,2,1,1,1,1,2,1, ,2,2,1,4,1, ,2,1,1,1,2,9,9,9,9,4,2,3,2,2,2,1,1,1,1,2,1,1,1,1, , ,1, , , ,1,1,2,2, ,2,2,2,2, ,2,1,1,1,1,2,2, ,1,1, ,1, , , , , , , ,1,2,2, , , ,1,1, ,1,6,3, ,3,1,1,1,0,0,0,0,0,0,2,1, ,19, , , , , , , ,1, , , ,2, ,61821,43,1,6,0,1, ,20090923,153042,3,66, ,1,1, ,2,4,3,3,5,7
49,1,1,1,2,2,1,3,1,4,1,4,3,1, ,1,2,1,2,2, ,3,1,4,3,1,9,9,9,3,4,4,4,9,2,5,2,9,1,2,2,1,2,2,9, ,1, , ,2, , ,1,2,1, ,2,1,2,1, ,1,1,2,2,2,1,2, ,1,4, , , , , , , , , ,1,3, , ,9, ,1,4, ,2,2,3, ,9,1,1,1,0,0,0,0,0,0,5, ,1,23, , , , , , , , , , , ,2, ,60448,27,1,3,0,2, ,20090923,153135,2,82, ,2, , ,9,88,9,3,88,88
50,1,1,1,9,9,1,2,1,2,2,2,5,2, ,2,9,1,3,5, ,3,1,2,2,2,9,9,9,9,2,2,2,2,4,4,4,2,1,3,3,2,3,3,9,1, , ,3, , , ,1,2,2, ,2,2,2,2, ,2,1,1,2,1,2,2, ,1,9, , , , , , , , , ,1,2, , ,3, ,1,2, ,1,1,1,3, ,1,1,0,1,0,0,0,0,0,2,1, ,7, , , , ,1, , , , , , ,1, ,62526,19,1,1,0,1, ,20090923,153229,3,90, ,3, , ,3,2,1,2,2,2
