id,date,int_lang,area,type,cell,safe,youngest,reg,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_ussen_dur,prim16_party,prim16_pres_dem,prim16_pres_dem_other,prim16_sen_dem,prim16_sen_dem_other,prim16_pres_rep,prim16_pres_rep_other,prim16_sen_rep,prim16_sen_rep_other,fixdeficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_services,gamble_exp,tax_ret_inc,tax_ret_50K,tax_ret_supp,tax_inc_temp,tax_inc_mil,tax_inc_grad,tax_gas,redist_neutral,redist_commis,cf_judge,cf_judge_pub,term_lim,right2work,budg_affect,budg_imp1,budg_imp2,budge_imp3,budg_imp4,budg_imp5,budg_imp6,budg_imp7,budg_imp_other,budg_child,budg_citycuts,budg_he,budg_infradec,budg_jobloss,budg_locecon,budg_realest,budg_socserv,budg_other,abort_leg,lg_rights,med_mari,mari_rec,vet_courts,miss_diabet,miss_depress,miss_heart,miss_anxiety,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_att_often,relig_type,religion,born_again,vet,vet_fam,zip,age_cat,birth_yr,rac_eth,rac_eth_other,hhinc
24056,20160218,1,2,1, , ,1,1,1,3,1,1,3,1,2,2,3, , , , , , , , ,2,2,2,2,1,2,2,2,1,1,2,2,2,4,1,1,4,1,1,1,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1, , ,3,2,3,2,2,1,1,1, ,2,3,1, ,2,2,1,60543,11,1945,7, ,9
33514,20160218,1,2,2,1,1, ,1,1,2,2,1,5,5,5,5,4, , , , , , , , ,2,1,1,1,1,1,1,1,4,4,2,2,2,4,4,4,4,4,2,3,3,1,1,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,4,2,2,2, , ,5,4,5, ,8,8,1,1, ,2,3,1, ,3,2,2,60543,6,1971,1, ,9
41998,20160216,1,2,2,1,1, ,1,2,2,2,1,3,4,2,2,3, , , , , , , , ,1,1,2,2,3,1,1,1,1,1,2,1,1,4,1,4,3,1,2,4,4,4,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1, , ,1,3,5, ,5,3,3, ,2,2,1,1, ,2,5,1,60543,10,1949,1, ,5
53696,20160218,1,2,1, , ,1,1,1,3,3,1,1,1,2,2,2, , , , ,7,Michael Bloomberg,1, ,2,2,1,1,2,2,2,1,2,1,1, ,1,4,1,2,4,2,2,2,3,1,5,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1, ,1, ,6,3,2,7,3,1,4, ,1,3,1, ,2,5,2,60543,6,1969,1, ,7
61224,20160220,1,2,1, , ,1,1,2,2,2,2,4,3,9,4,3, , , , , , , , ,5,2,2,2,2,2,1,3,2,3,2,2,2,3,1,2,3,3,2,1,5,3,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,2,2, ,2,1, ,5,3,2,1,1,4, , ,2,2,1, ,2,5,1,60543,6,1969,1, ,6
62955,20160220,1,2,1, , ,1,1,2,2,2,3,2,9,4,2,2, , , , ,8, ,1, ,2,2,1,2,1,1,2,2,4,1,2,2,2,2,4,4,4,1,1,3,2,1,4,1,5, , , , , , , ,0,0,0,0,1,0,0,0,0,1,3,1,2,1,1, ,1, ,5,4,3,7,3,4, , ,1,1,1, ,1,5,1,60543,7,1964,1, ,4
18298,20160216,1,2,2,1,1, ,1,1,2,2,1,2,1,9,4,2, , , , ,5, ,1, ,3,2,2,2,1,1,2,1,4,4,2,1,1,2,4,3,3,1,1,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,3,1,2,2,2, ,1, ,5,5, ,6,3,1,1, ,2,5, ,1,1,2,2,60542,9,1952,1, ,7
24338,20160219,1,2,1, , ,1,1,2,2,2,2,3,5,2,2,4, , , , , , , , ,2,3,1,1,1,2,2,2,1,1,3, ,3,4,2,1,4,1,1,1,1,1,1,1,10, , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,1,2, ,4, ,4,6,6,9,9,9,1,3, ,1,1,1, ,1,5,1,60542,8,1961,1, ,7
12524,20160218,1,2,2,1,1, ,1,1,2,2,1,4,1,2,5,2, , , , ,5, ,1, ,3,1,2,1,2,2,2,1,3,4,2,2,2,4,3,4,4,4,1,1,4,1,4,1,7, , , , , , , ,0,0,0,0,0,0,1,0,0,2,2,4,2,1,1, , ,3,5,4,3,6,3,1,1, ,2,3,1, ,2,5,1,60540,8,1961,1, ,7
15120,20160218,1,1,2,1,1, ,1,1,2,2,1,1,2,2,5,2, , , , ,8, ,1, ,2,1,1,2,1,2,2,1,3,2,1, ,1,3,3,3,2,2,4,2,2,2,4,1,3,6, , , , , , ,0,0,1,0,0,1,0,0,0,2,2,1,2,1,1, ,1, ,4,3,2,7,3,1,1, ,2,1,1, ,2,5,1,60540,4,1980,4, ,7
16550,20160217,1,2,2,1,1, ,1,1,2,2,1,1,2,1,2,2, , , , ,4, ,1, ,3,2,1,1,2,1,2,2,1,1,2,2,2,2,1,3,4,2,4,1,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1, ,1, ,4,3,2,5,3,2,1, ,2,5, ,3, ,5,2,60540,1,1992,4, ,1
30079,20160218,1,2,2,1,1, ,1,1,2,2,1,1,1,2,5,2, , , , ,6, ,1, ,3,2,1,2,1,1,2,1,3,2,1, ,1,2,3,3,2,1,1,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1, , ,2,5,4,3,5,3,1,4, ,2,3,1, ,2,3,2,60540,6,1969,1, ,7
51739,20160219,1,2,1, , ,1,1,1,2,2,2,5,5,4,9,3, , , , , , , , ,2,2,2,1,2,2,2,1,1,2,2,2,2,4,2,1,4,5,3,2,4,1,1,1,8,1, , , , , , ,1,0,0,0,0,0,0,1,0,2,1,1,1,2, ,2,1, ,3,4,3,4,2,1,1, ,2,3,1, ,2,5,1,60538,7,1965,1, ,3
17252,20160216,1,2,2,1,1, ,1,2,2,2,1,2,4,9,9,2, , , , ,3, ,1, ,2,2,2,2,2,2,2,1,3,2,2,1,1,3,2,2,3,2,2,2,4,1,2,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1, , ,2,3,4,3,6,3,1,1, ,2,1,1, ,2,5,2,60532,3,1984,1, ,7
