DownSt_NW,vet_1recodecol,vet_2recodecol,Area618,AreaSE618,Longitude,DownSt_South,UnionDum,pen_bnkil_dum,Area4,id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_pres_oba,app_ussen_dur,fix_deficit_il,cuts_K12,cuts_he,cuts_uni31,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_gas10,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50K,tax_inc_temp,tax_temp_inc45,tax_inc_mil,tax_inc_grad,frack_know,frack_safe,frack_bene,grow_dt,safe_walk,mod_trans,mod_trans_other,prefer_cars,local_food,vet_greatest,vet_greatest_other,vet_2ndgreat,vet_2ndgreat_other,news_social,news_nat_paper,news_loc_paper,news_nat_tv,news_loc_tv,news_nat_radio,news_loc_radio,news_online_cons,news_online_libs,social_shrviews,pens_bnkrpt_il,pens_bnkrpt_chi,abort_leg,lg_rights,feel_priv_union,feel_pub_unioin,feel_muslims,feel_lds,education,ideology2,party_leans,employ_time,employ_type,retired_type,union,relig_often,relig_1,relig_2,born_again,vet_you,vet_family,zip,age_cat,birth_yr,rac_eth1,rac_eth_other,neighborhood,hhinc1,party_aff1,ideology,vet_self,vet_dum_ue,vet_dum_underem,vet_dum_ptsd,vet_dum_va,vet_dum_phy,vet_dum_vbi,vet_dum_homeless,vet_dum_tech,vet_dum_college,vet_dum_sui,vet_dum_drug,vet_dum_famrel,vet_dum_other,vet_dum_DKNR,vet_1recode,vet_2recode,vet_cc_econ,vet_cc_mental,vet_cc_health,vet_cc_va,vet_cc_edu,vet_cc_other,vet_cc_DKNR,vet_cc_respect,N3_cat,N4_cat,City,County,Latitude,Chicago,CollarCounty,Cook_NoChi,Chi_Suburbs,DownState,area_chi,area_suburbs,area_downstate,vet_family2,AreaCode,vet_va_health,app_rau_col,app_kirk_col,app_oba_col,app_dur_col,vet_you_fam,feel_priv_col,feel_pub_col,feel_mus_col,feel_lds_col,RE_Col,usa_1,rway_usa,rway_il,rway_local,N3_B,RE_W,N3_ORE,RE_B,N3_W,RE_ORE,Age_col,Age__1,Age__2,Age__3,Age__4,HHI_Col,BA_yes,Female,Emp__FT,Emp__PT,Emp__Ret,Emp__Not,Emp__DKNR,Dem,Ind,Rep,Party__DKNR,Lib,Mod,Con,vet_va_health2,Generation,hhinc,party_aff,rac_eth
1,1,3,0,0,87.98,0,0,1,2,001613,2,2,1,1, ,1,1,2,2,1,2,4,4,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1, ,2,1,2,2,2,2,1,2,1,1, ,1,2,2, ,13,LACK OF RETIREMENT BENEFITS,0,3,9,9,7,1,1,2,0,3,1,1,3,3,2,2,4,4,6,4,7,3, ,1,2,1,1, ,2,5,2,60004,10,1949,1, ,7,5,3,3,2, ,1, , , , , , , , , , ,1, ,2,17,1,0,0,1,0,0,0,0,3,3,Arlington Heights,Cook,42.09,0,0,1,1,0, , , ,2,847312224,1,3,3,1,1,4,1,1,2,2,1,2,0,0,1,0,1,0,0,1,0,4,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,2,3,1
 ,3,2,0,0,89.65,1, ,0,4,000027,3,1, , ,1,1,2,2,2,3,3,9,9,2,4,3,2,1,1,2,3,2,1,2,2,3,2,2,3,2,3,2,1,5,5,2,1,2,7,RIDE,3,3,13,HEALTHCARE IS NOT GOOD ENOUGH,3, ,0,2,2,1,1,7,7,9,0,4,2,2,3,4,1,1,2,2,3,4,1,5, , , ,3,1, ,1,5,1,62056,4,1975,1, ,7,9,1,3,2, , ,1, , , , , , , , , ,1, ,15,3,0,1,1,0,0,0,0,0,3,3,Litchfield,Montgomery,39.17,0,0,0, , , , , ,1,217,1,9,9,1,3,3,1,1,1,1,1,2,0,0, ,0,1,0,0,1,0,2,0,1,0,0, ,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,3,9,1,1
 ,9,9,0,0,87.61,1,0,1,4,000128,3,1, , ,1,1,2,1,1,1,3,5,1,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,4,2,1,1,2, ,2,1,14, ,14, ,7,7,7,7,7,7,7,7,7,1,1,1,3,3,1,1,1,1,2,5,1,1,4, ,2,1,1, ,2,5,1,61832,6,1968,2, ,10,9,1,3,2, , , , , , , , , , , , , ,1,14,14,0,0,0,0,0,0,1,0,10,10,Danville,Vermilion,40.14,0,0,0, , , , , ,1,217,0,3,1,3,3,3,1,1,1,1,2,1,1,1,1, ,0, ,1, ,0,3,0,0,1,0, ,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,9,1,2
 ,2,1,1,1,88.17,1,0,1,4,000333,3,1, , ,1,1,2,2,2,1,2,4,9,4,9,2,2,2,2,2,1,1,1,1,2,2,2,2,1,3, ,1,1,1,3,2,2,2,1, ,1,3,3, ,1, ,7,7,7,7,7,2,2,0,9,1,1,1,2,2,4,4,4,2,5,3,3,3, ,2,2,1,1, ,1,5,1,62821,12,1938,1, ,7,9,1,2,2,1, ,1, , , , , , , , , , , ,3,1,1,1,0,0,0,0,0,0,3,3,Carmi,White,38.08,0,0,0, , , , , ,1,618,0,3,9,3,9,3,2,2,2,1,1,2,0,0,1,0,1,0,0,1,0,4,0,0,0,1, ,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2,1,9,1,1
 ,9,9,1,0,89.96,1,0,1,4,000700,3,1, , ,1,1,2,2,2,1,4,2,3,1,9,3,2,2,3,2,2,2,2,3,3,2,2,2,2,2,4,1,2,4,5,3,5,1,1, ,1,3,14, , , ,0,6,6,0,0,0,0,0,0,3,1,3,3,4,1,1,5,5,2,6,9,3, ,3,2,1,1, ,2,5,1,62025,13,1934,1, ,7,8,9,9,2, , , , , , , , , , , , , ,1,14,14,0,0,0,0,0,0,1,0,3,3,Edwardsville,Madison,38.8,0,0,0, , , , , ,1,618,0,1,2,1,9,3,1,1,5,5,1,2,0,0,1,0,1,0,0,1,0,4,0,0,0,1, ,0,1,0,0,1,0,0,0,0,0,1, , , ,2,1,9,9,1
1,1,3,0,0,88.08,0,0,1,2,000955,2,2,1,1, ,1,2,2,2,1,2,5,4,1,1,3,2,1,1,2,2,1,2,1,2,2,2,1, ,1, ,2,2,1,1,1,4,1,1, ,4,3,1, ,4, ,0,3,3,7,7,7,7,1,1,3,1,3,2,2,4,4,2,5,5,4,6,3, ,1,2,1,1, ,1,5,1,60193,9,1950,1, ,7,9,3,3,2,1, , ,1, , , , , , , , , , ,1,4,1,0,0,1,0,0,0,0,3,3,Schaumburg,Cook,42.03,0,0,1,1,0, , , ,1,847630224312708,1,3,3,1,1,3,2,2,1,5,1,2,0,0,1,0,1,0,0,1,0,3,0,0,1,0, ,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,9,3,1
1,1,9,0,0,88.03,0,0,0,2,000916,2,2,1,1, ,1,1,1,1,1,2,9,9,4,4,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,3,1,1,1,1, ,2,2,7, ,14, ,7,7,7,3,3,0,0,1,1,2,2,2,1,1,2,2,3,5,6,4,6,1,1, ,2,5, ,3, ,5,1,60030,4,1975,7, ,9,7,3,3,2, , , , , , ,1, , , , , , ,1,7,14,1,0,0,0,0,0,1,0,2,4,Grayslake,Lake,42.34,0,1,0, , , , , ,1,847,0,9,9,3,3,3,1,1,2,5, ,1,1,1,1,0, ,1, ,0, ,2,0,1,0,0,5, ,0,1,0,0,0,0,0,0,1,0,0,0,1,2,3,4,3,7
 ,3,1,0,0,88.25,1,1,1,4,002268,3,2,1,1, ,1,1,1,1,1,2,4,5,1,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,4,2,2,1,1,1,1,1,1, ,1,3,4, ,1, ,7,0,7,7,7,7,5,7,2,1,1,1,2,2,2,2,3,5,3,5,9,1,4, ,1,4, ,1,2,5,1,61874,8,1955,1, ,9,5,9,3,2,1, , ,1, , , , , , , , , , ,4,1,1,0,0,1,0,0,0,0,2,4,Savoy,Champaign,40.06,0,0,0, , , , , ,1,217,1,3,3,1,1,3,1,1,2,5,1,1,1,1,1,0,1,1,0,0,0,3,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,2,9,1
 ,3,1,1,0,89.6,1, ,0,4,003364,3,2,1,1, ,1,1,1,1,1,3,4,4,5,5,1,2,2,2,1,1,2,2,2,2,1,1,2,1,1, ,1,1,2,2,1,1,1,1, ,2,3,5, ,1, ,7,7,1,5,2,3,0,7,7,1,2,1,1,1,2,2,2,4,4,1,1,4, , , ,5, ,3, ,5,1,62237,4,1975,1, ,7,4,1,1,2,1, , , ,1, , , , , , , , , ,5,1,1,0,1,0,0,0,0,0,3,3,Coulterville,Perry,38.18,0,0,0, , , , , ,1,618,1,3,3,3,3,3,1,1,1,2,1,1,1,1,1,0,1,0,0,1,0,2,0,1,0,0,3, ,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,2,1,1
1,9,9,0,0,88.68,0, ,1,3,002610,3,1, , ,1,1,2,2,3,3,3,4,3,1,3,2,2,2,3,2,3,3,2,1,2,1,2,3, ,1, ,3,3,4,5,3,3,3,1, ,1,1,14, , , ,0,5,5,6,6,0,0,0,0,4,1,1,2,1,3,3,5,5,3,3,5,4, , , ,3,1, ,2,5,1,61341,8,1959,1, ,7,8,3,2,2, , , , , , , , , , , , , ,1,14,14,0,0,0,0,0,0,1,0,3,3,Marseilles,La Salle,41.32,0,0,0, , , , , ,1,815,0,3,2,1,2,3,2,2,5,5,1,2,0, , ,0,1,0,0,1,0,3,0,0,1,0, ,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,2,9,3,1
