id,date,int_lang,area,type,S1,S2,S3,S5,gender,rwdirusa,rwdiril,rwdirlocal,qlife,raunerappog,Q6,Q7,Q8,Q9,Q10,Q11,Q11_oth,Q12,Q12_oth,Q13,Q13_oth,Q14,fix_deficit_il,stale_budg_aff,Q16AM1,BudgetAffect,Q16A_oth,Q16AM2,Q16AM3,Q16AM4,Q16AM5,Q16AM6,Q16AM7,Q16AM8,Q16AM9,view_unions_og,right2work_og,union_inf,Q20,Q21,desire_move,Q23,Q23_oth,ReasonMoveCollapse,term_lim,redist_commis,Q26,env_econ,vet_sentence,education,ideology_og,party_aff_og,Q32,Q33,Q34,Q35,QR01,QR02A,QR02B,QR03,Q36,Q37,Q38,Q39_cat,birth_yr,rac_eth,Q40_oth,hhinc,Generation,party_aff,ideology,age_cat50,BudgAffectCOL,raunerapp,unionview,right2work,fairshr,gaslockbox,madapp,cullapp,enthusiasm,prez16,senate16,comptroller16,climate_chng,likely_move
081701,20160929,1,3,2,1,1, ,1,1,1,1,1,3,2,5,5,1,1,2,3, ,3, ,10, ,1,3,1,7,7, , , , , , , , , ,3,3,2,1,4,1,17, ,4,1,1,2,1,1,5,2,3,1,4, ,2,5, ,3, ,5,1,61103,4,1979,1, ,3,3,1,1,1,3,1,2,2,1,1,2,2,2,2,2,5,2,2
020561,20160928,1,2,2,1,1, ,1,1,1,2,1,2,5,4,4,1,1,1,3, ,3, ,3, ,5,2,1,7,7, ,11,10,12,8,3, , , ,1,3,2,1,4,1,2, ,2,2,2,1,1,1,6,2,1,1,1, ,2,5, ,3, ,2,2,60056,8,1961,7, ,9,2,1,1,2,3,2,1,2,1,3,2,2,1,2,2,2,1,2
031346,20161002,1,3,2,1,1, ,1,2,2,2,2,5,5,5,9,1,1,1,1, ,10, ,10, ,1,2,1,8,8, ,9, , , , , , , ,3,2,2,2,3,1,21,State budget,6,1,2,2,1,1,3,2,6,4, , ,2,3,1, ,1,5,1,62964,10,1950,1, ,1,2,3,1,2,2,2,2,1,2,1,2,3,1,1,5,5,2,1
016850,20160930,1,3,2,1,1, ,1,2,2,2,2,3,4,2,4,1,2,2,10, ,3, ,3, ,1,1,1,8,8, , , , , , , , , ,4,3,1,2,4,1,21,Better Opportunity,12,1,2,3,2,1,4,4,1,4, , ,2,3,1, ,1,5,2,62226,5,1974,2, ,2,3,1,3,1,2,2,2,2,2,1,1,2,2,5,2,2,3,2
012391,20160928,1,1,2,1,1, ,1,1,2,2,2,3,1,5,5,1,1,2,1, ,1, ,3, ,1,3,1,8,8, , , , , , , , , ,4,2,3,2,4,1,9, ,5,1,1,1,2,2,6,4,7,1,1, ,2,3,1, ,2,5,1,60004,5,1972,1, ,7,3,3,3,1,2,1,2,1,2,1,2,2,2,1,1,2,1,2
064245,20160927,1,1,1, , ,1,1,2,2,2,2,1,2,5,3,1,1,2,9,none of the above,1, ,1, ,1,3,1,8,8, , , , , , , , , ,4,1,3,2,5,1,6, ,3,1,1,1,1,1,4,4,7,1,4, ,2,4, ,1,2,5,1,60614,8,1961,4, ,7,2,3,3,2,2,1,2,1,2,1,2,3,2,5,1,1,1,2
010006,20160927,1,1,2,1,1, ,1,1,2,2,2,4,5,5,9,1,3,2,7, ,7, ,7, ,1,2,1,8,8, , , , , , , , , ,1,4,1,1,4,2, , , ,2,1,1,1,1,6,1,4,1,3, ,1,4, ,3, ,5,2,60608,6,1971,1, ,4,3,2,1,1,2,2,1,2,1,1,2,3,2,4,4,4,1,2
010503,20160928,1,1,2,1,1, ,1,2,1,2,1,2,5,2,2,1,1,1,3, ,3, ,3, ,1,3,1,8,8, ,7, , , , , , , ,1,5,2,1,5,2, , , ,2,2,1,2,2,2,3,1,3, ,1,1,1,1, ,2,5,2,60544,12,1938,1, ,4,1,1,2,2,2,2,1,3,1,1,1,1,1,2,2,2,1,2
011435,20160928,1,3,2,1,1, ,1,1,2,2,2,2,5,5,5,1,1,1,3, ,3, ,5, ,1,3,1,8,8, , , , , , , , , ,2,2,1,2,5,2, , , ,1,1,1,1,1,6,2,4,1,1, ,2,4, ,1,2,5,2,61048,7,1963,4, ,7,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,3,1,2
015430,20160930,1,1,2,1,1, ,1,2,2,2,1,5,5,5,1,1,2,1,5, ,1, ,4, ,1,3,1,9,9, ,5, , , , , , , ,1,1,1,2,2,1,21,Would like to move to a state where same sex marriage is illegal,6,1,1,1,1,1,4,1,1,4, , ,2,3,1, ,2,5,2,60653,8,1957,2, ,1,2,1,1,2,2,2,1,1,2,1,2,1,1,3,1,2,1,1
083784,20160929,1,3,2,1,1, ,1,2,2,2,2,2,9,9,9,1,1,2,1, ,10, ,10, ,1,2,1,9,9, , , , , , , , , ,1,5,2,1,5,1,21,likes another state,12,1,1,1,1,2,4,3,2,1,1, ,1,5, ,1,2,5,2,62269,1,1992,1, ,6,4,1,2,1,2,3,1,3,1,1,3,3,2,1,5,5,1,2
027634,20160929,1,2,1, , ,1,1,2,2,2,2,2,4,9,9,1,1,2,6, ,1, ,5, ,1,3,1,9,9, , , , , , , , , ,1,4,2,2,5,1,21,"I need hills, and threatening husbands job.",3,1,1,2,1,1,5,3,4,4, , ,1,1,1, ,1,5,2,60564,5,1975,1, ,5,3,2,2,1,2,2,1,2,2,1,3,3,2,3,1,3,2,2
081345,20160929,1,3,2,1,1, ,1,2,2,2,1,3,5,5,5,1,2,1,4, ,3, ,3, ,2,2,1,9,9, , , , , , , , , ,1,1,1,1,4,1,21,Horrible government,6,1,1,1,1,1,5,2,1,1,2, ,2,5, ,3, ,5,1,62401,3,1982,5, ,3,3,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,2
027316,20160928,1,2,2,1,1, ,1,1,2,2,1,2,2,5,9,1,1,1,3, ,3, ,3, ,1,2,1,9,9, ,1, , , , , , , ,2,5,1,1,5,1,21,experience another place,12,1,1,1,2,1,3,3,4,4, , ,2,4, ,1,2,5,1,60636,8,1961,2, ,2,2,2,2,2,2,1,1,3,1,1,2,3,1,2,2,2,1,2
015313,20160930,1,2,2,1,1, ,1,2,1,1,2,5,1,4,9,3, , , , , , , , , ,3,1,9,9, , , , , , , , , ,1,5,1,1,5,1,21,education and the politics,6,1,1,1,2,1,4,6,4,2,4, ,1,1,9, , ,5,1,60628,3,1983,2, ,1,3,2,8,1,2,1,1,3,1,3,2,3,4,5,5,5,1,2
011720,20160928,1,2,2,1,1, ,1,2,1,3,3,2,5,2,2,1,2,2,1, ,1, ,10, ,1,1,1,9,9, , , , , , , , , ,2,2,2,1,1,1,20, ,3,1,1,2,1,1,6,2,3,1,3, ,1,1,1, ,2,5,1,60103,7,1963,1, ,7,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,5,2,1
082613,20160929,1,3,2,1,1, ,1,2,1,2,1,1,2,5,5,1,1,1,3, ,3, ,1, ,1,3,1,9,9, , , , , , , , , ,2,5,3,1,5,1,19, ,4,1,1,1,1,1,5,3,1,1,1, ,2,2,1, ,2,5,2,61017,9,1954,1, ,5,2,1,2,2,2,1,1,3,1,1,2,2,1,2,2,1,1,2
013458,20160928,1,1,2,1,1, ,1,1,1,2,2,5,4,1,2,1,1,2,3, ,3, ,3, ,3,3,1,9,9, , , , , , , , , ,1,4,2,2,5,1,9, ,5,2,1,1,1,1,4,1,1,1,1, ,2,5, ,2, ,2,2,60636,7,1966,2, ,5,3,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,2
079167,20160929,1,1,2,1,1, ,1,1,2,2,2,3,1,5,5,1,3,2,5, ,9,unsure,1, ,1,2,1,9,9, , , , , , , , , ,4,2,3,2,1,1,9, ,5,1,1,2,2,2,5,3,8,1,1, ,2,5, ,3, ,5,1,60611,4,1979,1, ,5,3,8,2,1,2,1,2,1,2,1,2,2,2,3,5,1,2,1
044071,20160930,1,3,1, , ,1,1,1,2,2,2,3,1,5,5,1,1,1,1, ,10, ,1, ,1,5,1,9,9, , , , , , , , , ,4,1,3,2,3,1,9, ,5,1,1,2,2,1,3,5,7,1,1, ,2,1,1, ,1,5,2,62650,8,1957,7, ,4,2,3,3,2,2,1,2,1,2,1,2,2,1,1,5,1,2,1
082149,20160930,1,3,2,1,1, ,1,1,2,1,3,2,2,5,9,1,1,1,1, ,1, ,1, ,1,2,1,9,9, , , , , , , , , ,4,2,3,2,3,1,9, ,5,1,1,2,1,1,6,4,7,1,1, ,2,5, ,1,2,1,2,60115,3,1982,4, ,6,3,3,3,1,2,1,2,1,2,1,2,3,1,1,1,1,2,1
086756,20160930,1,2,2,1,1, ,1,1,2,2,2,1,1,5,5,1,1,1,1, ,2, ,1, ,1,2,1,9,9, , , , , , , , , ,4,1,3,2,2,1,9, ,5,1,1,3,2,1,5,5,7,3, ,1,2,4, ,1,2,2,1,60002,11,1944,1, ,2,1,3,3,2,2,1,2,1,2,1,2,2,1,1,1,1,3,1
006526,20160927,1,3,1, , ,1,1,2,2,2,2,4,1,5,4,1,1,2,9,none of the above,1, ,1, ,1,2,1,9,9, ,2, , , , , , , ,4,5,3,2,3,1,6, ,3,1,3,4,2,2,2,5,5,4, , ,2,5, ,1,1,5,2,62846,7,1963,1, ,5,2,3,3,2,2,1,2,3,2,1,2,2,2,5,1,1,4,1
007682,20160927,1,1,1, , ,1,1,2,1,2,2,2,5,5,4,1,1,1,3, ,3, ,3, ,3,3,1,9,9, ,2, , , , , , , ,4,1,3,1,4,1,2, ,2,1,1,1,1,2,6,2,2,1,4, ,2,4, ,2, ,5,1,60610,6,1967,1, ,7,3,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2
011280,20160928,1,3,2,1,1, ,1,1,2,2,1,3,1,5,5,1,1,1,1, ,1, ,1, ,1,2,1,9,9, , , , , , , , , ,2,1,3,2,4,1,2, ,2,1,1,2,2,1,3,4,5,1,1, ,1,4, ,1,2,5,2,61376,7,1965,1, ,6,3,3,3,2,2,1,1,1,2,1,2,2,1,1,1,1,2,2
035928,20160928,1,2,2,1,1, ,1,1,2,2,2,4,2,5,5,1,1,2,1, ,1, ,1, ,1,2,1,9,9, ,6, , , , , , , ,3,1,2,3,3,1,2, ,2,1,1,2,2,3,5,4,4,3, ,1,1,1,1, ,2,5,2,60126,8,1957,1, ,3,2,2,3,2,2,1,2,1,3,1,2,2,2,1,1,1,2,1
080530,20160930,1,2,2,1,1, ,1,2,3,3,3,4,9,9,9,4, , , , , , , , , ,5,1,9,9, ,6,1, , , , , , ,3,5,2,1,5,1,2, ,2,2,1,5,1,1,5,5,8,1,1, ,1,5, ,1,1,5,2,60637,8,1960,2, ,5,2,8,3,2,2,3,2,3,1,3,3,3,4,5,5,5,4,2
