id,region,version,rwdirusa,rwdiril,rwdirlocal,qlife,app_pres_oba,app_gov_quin,app_teapar,vote_teapar,prim12_party,prim12_rep_pres,prim12_rep_pres_oth,pres12_oba_per,pres12_oba_cai,pres12_oba_rom,pres12_oba_pau,term_lim,cf_lim_judg,cf_pub_judg,cf_lim_leader,prim_nodeclr,redist_neutral,redist_commis,deficit_order,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_ret_inc,tax_retover50K,tax_sales,tax_services,gamble_exp,tax_cigs,latepay_order,latepay_il,img_road2cit,img_enforce,img_localarrest,img_childlegres,img_instatetuit,civility_order,civility1,civility2,will2compro,gen_betrldrs_bel,gen_wellqual_bel,gen_equalnum_bel,gen_betrldrs_thi,gen_wellqual_thi,gen_equalnum_thi,gen_betrldrs_feel,gen_wellqual_feel,gen_equalnum_feel,betteroff_now,betteroff_1yr,betteroff_other,gender,education,ideology_scale,ideology,party_aff_og,teaparty,employ_time,employ_type,retire_type,unemp_past12mo,union,relig_att_often,relig_att_lstmo,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again1,born_again2,born_again,born_again_evan,bible_feel,bible_tho,bible_bel,birth_yr,rac_eth,rent_own1,rent_own2,ownhome,renthome,hhinc,fips,adi,dma,msa,nielson,census,date,duration,party_aff,teapar_collapse,gen_betrldrs_col,gen_wellqual_col,gen_equalnum_col,area
000200,2,1,2,2,1,1,2,1,5, ,2, , ,1, ,1,1,1,1,2,1,1,4,1,5,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,3,2,1,1,1,1,2,2, ,2,2,1,1, , , , , , ,3,3,3,2,4,2,2,1,2,1,1, ,2,2,5, , ,1,16, , , , , , , , , , , ,2, , , ,3, , ,1957,1,4, , , ,4,17097,196,140,1698,1,3,10/11/2011,35.3,1, ,2,1,1,2
000329,2,1,2,2,1,2,2,2,5, ,3, , ,1, ,1,3,1,3,2,2,1,2,1,6,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,3,2,2,3,1,4, , , , , , ,3,3,3,2,5,1,1,4,2,1,1, ,2,2,4, , ,3, , , , , , , , , , , , , , , , ,3, , ,1970,1,4, , , ,6,17089,196,140,1698,1,3,10/11/2011,22.8,2, ,3,1,4,2
000353,3,3,2,1,2,5,2,3,1,3,2, , ,1, ,1,1,1,2,4,3,4,1,2,3,2,2,2,1,2,2,2,2,1, ,2,1,2,1,2,1,2,1,1,2,1,1,2, ,1, , , , , , ,3,1,1,2,3,3,2,3,2,3,1,2,4, , ,1,2,4, , ,1,3, ,2, , , , , , , , , , , ,1,3, , ,2,1989,2, , ,2,1,1,17143,676,556,3790,2,3,10/11/2011,22.47,1,2,3,1,1,3
000419,3,3,2,3,1,1,2,5,5, ,1,10, ,2, ,2,2,3,5,5,2,1,1,3,1,3,2,1,2,1,1,2,3,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1, ,2, , , , , , ,1,1,1,2,2,3,2,2,2,3,7,2,1,1, ,2,2,5, , ,3, , , , , , , , , , , , , , , , , , ,4,1957,1, , ,1,2,4,17197,196,140,1698,1,3,10/11/2011,21.49,3, ,1,1,1,3
000427,2,3,2,1,1,3,2,2,5, ,4, , ,3, ,3,3,1,1,2,1,1,2,1,3,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,2,4,4,2, , , , , , ,3,1,4,2,2,2,2,6,2,1,4,2,4, , ,1,1,4, , ,2, , , , , , , , , , , ,80, , , , , , ,2,1971,1, , ,1,2,5,17031,196,140,1698,1,3,10/11/2011,18.47,2, ,3,1,4,2
000438,2,2,1,1,1,2,1,2,3,5,2, , ,1, ,1,1,1,1,1,4,4,1,1,5,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2, ,4, , , ,3,1,4, , , ,3,3,4,2,6,2,1,3,2,3, ,2,2,2,4, , ,1,14, , , , , , ,2, , , , , ,2, , , ,4, ,1956,2, ,1, , ,7,17031,196,140,1698,1,3,10/11/2011,27.54,1, ,3,1,4,2
000494,2,3,2,2,1,5,3,4,5, ,2, , ,2, ,3,2,1,1,2,1,1,2,1,3,2,2,2,2,1,2,3,3,2,1,2,1,2,2,1,1,1,1,1,2,1,1,3,5,1, , , , , , ,3,1,4,2,4,2,2,4,2,3,4,2,4, , ,1,1,1,1,1, ,14, , , , , , ,1, , , , , , ,1,3, , ,1,1952,1, , ,1,2,1,17097,196,140,1698,1,3,10/11/2011,27.16,2, ,3,1,4,2
000510,2,1,2,1,1,2,2,2,4,4,2, , ,1, ,1,1,1,1,2,1,1,1,1,3,1,2,2,2,2,2,2,1,1, ,2,2,1,1,1,2,2,1,1,1,1,2,2, ,1,2,1,3, , , , , , ,3,3,2,2,3,2,1,1,2,4, , ,1,2,5, , ,3, , , , , , , , , , , , , , , , ,3, , ,1971,1,3, , , ,1,17031,196,140,1698,1,3,10/11/2011,27.25,1,2,2,1,3,2
000536,2,2,2,2,2,4,2,3,4,4,2, , ,1, ,1,1,1,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1,1,2, ,4, , , ,3,1,3, , , ,4,2,2,2,2,2,2,1,2,4, , ,1,2,1,2,1, ,80, , , , , , , , , , , , ,1, , , ,2, ,1945,2, ,1, , ,2,17043,196,140,1698,1,3,10/11/2011,24.4,1,2,3,1,3,2
000548,3,1,2,2,1,3,2,2,2,5,2, , ,1, ,3,1,1,1,5,3,2,2,2,1,2,3,1,2,1,1,3,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,3,3,3,3,1,4, , , , , , ,3,3,2,2,3,1,2,3,1,1,1, ,2,2,4, , ,1,80, , , , , , , , , , , ,2, , , ,2, , ,1951,6,4, , , ,2,17107,834,116,9999,4,3,10/11/2011,27.55,1, ,3,1,4,3
000552,3,1,2,2,1,2,3,4,4,4,3, , ,1, ,1,1,1,1,4,1,1,3,1,5,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,3,2,1,3,1,1, , , , , , ,2,3,2,2,5,1,1,4,2,1,3, ,1,3,4, , ,1,14, , , , , , ,1, , , , ,2, , , ,2, , ,1969,1,1, , , ,6,17167,834,116,4410,3,3,10/11/2011,24.1,2,2,3,1,1,3
000563,2,3,1,1,1,2,2,5,5, ,3, , ,3, ,3,3,3,5,5,5,5,5,3,5,5,2,2,1,3,1,2,2,2,2,2,2,1,2,2,3,1,1,2,1,1,2,4,5,5, , , , , , ,3,1,1,2,3,3,2,1,1,1,1,2,4, , ,1,2,2,2,1, ,3, ,7, , , , , , , , , , , ,1,2, , ,1,0,2, , ,2,2,8,17031,196,140,1698,1,3,10/11/2011,18.32,1, ,3,1,1,2
000564,3,1,1,3,1,1,2,5,4,4,3, , ,1, ,1,4,1,2,5,1,5,5,1,1,2,2,1,2,1,3,2,2,3, ,2,2,2,1,1,3,1,1,1,1,1,2,3,4,5,3,1,4, , , , , , ,3,2,3,2,3,2,3,8,2,3, ,5,2,1,2,2,1, ,80, , , , , , , , , , , ,1, , , ,4, , ,1919,1,4, , , ,1,17009,744,616,4042,2,3,10/11/2011,25.3,8,2,3,1,4,3
000567,2,3,2,2,1,4,3,4,2,2,1,10, ,2, ,2,2,2,3,4,1,3,2,3,5,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,3,2,1,1,1,1,2,3,1,1, , , , , , ,3,1,3,2,2,2,2,3,1,3,4,1,3, ,1,2,1,1,2,1, ,5, , , , , , , , , , , , , , , , , ,2,1932,1, , ,1,2,2,17031,196,140,1698,1,3,10/11/2011,29.4,2,1,3,1,3,2
000576,1,2,2,2,2,5,4,4,2,5,4, , ,2, ,2,2,1,1,2,1,4,3,1,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1, ,2, , , ,3,1,4, , , ,2,2,2,2,6,2,2,4,2,1,1, ,1,2,1,1,1, ,5, , , , , , , , , , , , , , , , ,2, ,1946,1, ,1, , ,5,17031,196,140,1698,1,3,10/11/2011,32.4,2, ,3,1,4,1
000577,2,2,1,1,1,2,2,2,4,4,1,8, ,1, ,1,1,1,4,3,1,4,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,2, ,1, , , ,3,1,1, , , ,3,1,1,2,4,2,2,2,2,3, ,3,2,1,4, , ,2, , , , , , , , , , , ,80, , , , , ,3, ,1941,1, ,1, , ,6,17097,196,140,1698,1,3,10/11/2011,27.32,1,2,3,1,1,2
