id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,gov14_quin_raun,gov14_quin_raun_other,gov14_quin_brady,gov14_quin_brady_other,gov14_quin_dill,gov14_quin_dill_other,gov14_quin_ruth,gov14_quin_ruth_other,fix_deficit_il,tax_inc_temp,tax_temp_inc2,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_sales,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50k,pen_refbill,term_lim,term_leader,term_resp,term_expert,term_fresh,term_lobby,crpt_city_com,crpt_county_com,crpt_city_impact,crpt_state_com,crpt_st_impact,crpt_fed_com,crpt_fed_impact,gun_own,schoolgrd,schoolgrd_tax,gun_conceal_expt,gun_conceal_safe,local_ce,national_ce,news_accurate,say_from,say_from_other,q46_a1,q46_a2,q46_a3,q46_a4,q46_a5,q46_a6,q46_a7,q46_a8,q46_a9,q46_a10,q46_a11,q46_a12,q46,hc_medicaid,hc_ins_quality,hc_ins_cost,hc_get_ins,hc_delayed,hc_condition,abort_leg,lg_rights,education,ideology,party_aff1,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,born_again,zip,age,birth_yr,rac_eth1,rac_eth_other,hhinc1,news_loc_tv,news_nat_np,news_npr,news_radio,news_msnbc,news_fox,news_cnn,news_bbc,news_huffpo,news_comedy,news_social,news_oth_dum,news_oth_word,news_no_contact,Generation,hhinc,party_aff,rac_eth
603954,1,2,1,1, ,1,1,1,2,1,1,3, , ,3, ,9, ,3, ,9, ,2,2,3,2,2,2,1,2,2,2,2,2,1,2,2,4,1,1,1,3,1,4,1,9,1,3,2,4,2,2,1,1,1,2,3,3,2,1, ,3,10,2, , , , , , , , , , ,2,2,1, ,2, ,4,4,6,1,9,1,4, ,2,2, , ,60504,4,1974,3, ,7,0,1,1,0,0,0,0,0,0,1,0,0, ,0,3,4,9,3
603740,2,2,1,1, ,1,2,2,3,2,3,3, , ,3, ,3, ,3, ,3, ,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,4,4,1,4,4,2,2,3,1,4,1,9,1,2,1,2,2,2,3,1, ,6,1,5,7, , , , , , , , , ,1,3, , ,1,1,1,3,2,3,1,4, , ,5, ,3, ,60517,8,1957,1, ,1,1,0,0,0,1,1,1,0,0,0,0,0, ,0,2,1,1,1
603643,3,2,1,1, ,1,2,2,2,1,3,9, , ,3, ,2, ,9, ,1, ,3,2,3,2,2,2,2,3,2,2,1,2,1,1, ,3,1,1,2,3,1,2,3,2,2,4,4,3,3,2,2, ,2,2,3,3,2,6, ,3,4,11,1,10, , , , , , , , ,2,3, , ,2, ,3,1,5,1,1,1,3, ,5, ,3, ,61520,3,1983,1, ,5,1,0,1,1,0,0,0,0,0,1,1,0, ,0,3,2,1,1
604593,3,2,1,1, ,1,1,2,3,2,5,9, , ,9, ,9, ,9, ,2, ,2,2,4,1,1,2,1,1,1,1,2,3,2,1, ,3,1,1,1,2,1,2,4,4,4,4,4,4,4,1,1,2,1,1,2,1,3,11, ,1,7,2,5,6, , , , , , , , ,2,3, , ,2, ,3,3,4,9,3,1,2, ,1,1, ,1,62930,8,1957,1, ,2,1,1,0,0,1,1,1,0,0,0,0,0, ,0,2,1,3,1
603467,2,2,1,1, ,1,1,2,2,2,4,1,1, ,1, ,1, ,1, ,1, ,5,2,4,3,2,1,1,3,1,1,2,1,1,2,2,4,1,3,2,4,2,4,3,3,2,4,4,4,4,1,1,1,1,8,3,4,2,2, ,6,4,11,7,1,8,3,2, , , , , ,2,3, , ,2, ,2,4,4,2,3,1,1, ,4, ,1,1,66021,7,1962,1, ,6,1,1,1,1,0,1,1,1,0,0,1,0, ,0,2,3,3,1
604515,2,2,1,1, ,1,2,2,2,2,2,2, , ,3, ,3, ,3, ,3, ,3,3, ,2,1,2,1,2,2,2,2,1,1,1, ,2,1,1,1,4,2,3,4,1,3,4,3,3,3,2,2, ,1,8,3,3,2,1, ,3,10,4,1,6,7,9, , , , , , ,2,3, , ,2, ,1,1,6,1,1,4, , ,5, ,3, ,60622,3,1980,1, ,6,1,0,1,1,0,1,1,0,1,1,0,0, ,0,3,3,1,1
603813,2,2,1,1, ,1,2,1,3,3,4,3, , ,4, ,3, ,3, ,3, ,2,1, ,2,2,2,2,1,1,2,2,2,2,1, ,2,2,4,1,2,1,4,3,3,4,3,3,3,2,2,1,1,2,2,2,3,3,88,ILLINOIS,1,10,4,6,2,7,3,5, , , , , ,2,3, , ,2, ,1,1,3,1,1,2,2, ,3,1, ,2,60085,10,1948,5, ,2,1,1,1,1,1,1,1,0,0,1,0,0, ,0,2,1,1,3
603254,2,2,1,1, ,1,2,2,2,2,2,1,3, ,1, ,1, ,1, ,2, ,2,2,4,1,1,2,1,1,3,3,2,2,2,2,2,3,1,1,1,4,2,4,9,9,2,4,3,3,3,1,2, ,2,1,4,4,2,2, ,6,9,2,7,8,11,1,4, , , , , ,2,3, , ,1,4,3,3,6,3,3,1,2, ,1,1, ,1,60188,6,1965,1, ,7,1,1,0,1,0,1,1,1,1,0,1,0, ,0,3,4,3,1
601779,2,2,1,1, ,1,1,1,1,1,3,3, , ,3, ,3, ,3, ,3, ,4,3, ,2,2,1,1,1,1,1,2,2,2,1, ,3,1,2,2,3,1,2,4,1,2,2,1,2,1,2,1,1,1,2,2,2,3,1, ,1,4,7,5,6,2, , , , , , , ,2,3, , ,2, ,2,3,2,2,1,1,1, ,3,2, , ,60181,6,1965,4, ,5,1,1,0,1,1,1,1,0,0,0,0,0, ,0,3,2,1,3
604126,2,2,1,1, ,1,2,1,2,1,2,2, , ,3, ,3, ,3, ,3, ,3,3, ,2,3,2,2,2,2,2,1,1,1,2,2,3,1,1,2,3,2,3,3,3,3,3,4,3,4,2,2, ,2,2,3,3,2,4, ,6,1,10,3,4,8,2,11,9, , , , ,2,1, , ,1,4,1,1,5,2,1,2,1, ,2,2, , ,60035,7,1963,1, ,9,1,1,1,1,0,1,0,1,1,1,1,0, ,0,2,9,1,1
